,Item,Ref_Wave,Test_Wave,Mushra_Scores,Utterance,Folder,Condition,Codec,Rate_kbps,sampleMOS,conditionMOS,conditionCI,DataBase,sampleSTD,sampleCI,Degradation,sumVotes,CodecCombination,Q_Value_dB,EXP,NoiseType,ErrorType,ErrorRate%,warp_q_mfcc,warp_q_mel,pesq
0,,resources/TCDvoip/Test_Set/ECHO/ref/R_01_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_01_ECHO_FA.wav,,,,1,,,4.583333333,4.677083333,0.107383045,TCDvoip,0.653862548,0.261599502,ECHO,110,,,,,,,0,0,4.643888474
1,,resources/TCDvoip/Test_Set/ECHO/ref/R_01_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_01_ECHO_FG.wav,,,,1,,,4.708333333,4.677083333,0.107383045,TCDvoip,0.464305621,0.185760937,ECHO,113,,,,,,,0,0,4.643888474
2,,resources/TCDvoip/Test_Set/ECHO/ref/R_01_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_01_ECHO_MK.wav,,,,1,,,4.875,4.677083333,0.107383045,TCDvoip,0.337831962,0.135160935,ECHO,117,,,,,,,0,0,4.643888474
3,,resources/TCDvoip/Test_Set/ECHO/ref/R_01_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_01_ECHO_ML.wav,,,,1,,,4.541666667,4.677083333,0.107383045,TCDvoip,0.65800533,0.26325696,ECHO,109,,,,,,,0,0,4.643888474
4,,resources/TCDvoip/Test_Set/ECHO/ref/R_02_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_02_ECHO_FA.wav,,,,2,,,4.541666667,4.635416667,0.1225,TCDvoip,0.721060009,0.288484086,ECHO,109,,,,,,,0.124209192,0.197669593,4.450554848
5,,resources/TCDvoip/Test_Set/ECHO/ref/R_02_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_02_ECHO_FG.wav,,,,2,,,4.75,4.635416667,0.1225,TCDvoip,0.531609533,0.212688109,ECHO,114,,,,,,,0.152951946,0.218720069,4.379987717
6,,resources/TCDvoip/Test_Set/ECHO/ref/R_02_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_02_ECHO_MK.wav,,,,2,,,4.583333333,4.635416667,0.1225,TCDvoip,0.653862548,0.261599502,ECHO,110,,,,,,,0.134098954,0.209122506,4.368439674
7,,resources/TCDvoip/Test_Set/ECHO/ref/R_02_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_02_ECHO_ML.wav,,,,2,,,4.666666667,4.635416667,0.1225,TCDvoip,0.564659703,0.225910931,ECHO,112,,,,,,,0.119504549,0.193719129,4.394391537
8,,resources/TCDvoip/Test_Set/ECHO/ref/R_03_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_03_ECHO_FA.wav,,,,3,,,4.625,4.604166667,0.116553015,TCDvoip,0.646898957,0.258813486,ECHO,111,,,,,,,0.101787745,0.009860385,4.541463375
9,,resources/TCDvoip/Test_Set/ECHO/ref/R_03_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_03_ECHO_FG.wav,,,,3,,,4.666666667,4.604166667,0.116553015,TCDvoip,0.481543412,0.192657489,ECHO,112,,,,,,,0.120102251,0.013200065,4.53412199
10,,resources/TCDvoip/Test_Set/ECHO/ref/R_03_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_03_ECHO_MK.wav,,,,3,,,4.666666667,4.604166667,0.116553015,TCDvoip,0.564659703,0.225910931,ECHO,112,,,,,,,0.145279304,0.008708392,4.429224968
11,,resources/TCDvoip/Test_Set/ECHO/ref/R_03_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_03_ECHO_ML.wav,,,,3,,,4.458333333,4.604166667,0.116553015,TCDvoip,0.65800533,0.26325696,ECHO,107,,,,,,,0.118260758,0.011970111,4.524640083
12,,resources/TCDvoip/Test_Set/ECHO/ref/R_04_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_04_ECHO_FA.wav,,,,4,,,4.75,4.479166667,0.126794603,TCDvoip,0.442325868,0.176967204,ECHO,114,,,,,,,0.311949119,0.027808304,4.056041718
13,,resources/TCDvoip/Test_Set/ECHO/ref/R_04_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_04_ECHO_FG.wav,,,,4,,,4.333333333,4.479166667,0.126794603,TCDvoip,0.564659703,0.225910931,ECHO,104,,,,,,,0.282891853,0.028112175,4.084482193
14,,resources/TCDvoip/Test_Set/ECHO/ref/R_04_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_04_ECHO_MK.wav,,,,4,,,4.25,4.479166667,0.126794603,TCDvoip,0.793999233,0.317665853,ECHO,102,,,,,,,0.217688313,0.037442048,4.207402229
15,,resources/TCDvoip/Test_Set/ECHO/ref/R_04_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_04_ECHO_ML.wav,,,,4,,,4.583333333,4.479166667,0.126794603,TCDvoip,0.717281502,0.286972368,ECHO,110,,,,,,,0.205199676,0.035777604,4.342423439
16,,resources/TCDvoip/Test_Set/ECHO/ref/R_05_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_05_ECHO_FA.wav,,,,5,,,3.833333333,3.71875,0.184286497,TCDvoip,0.963086825,0.385314979,ECHO,92,,,,,,,0.459441343,1.266495994,2.851123571
17,,resources/TCDvoip/Test_Set/ECHO/ref/R_05_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_05_ECHO_FG.wav,,,,5,,,3.75,3.71875,0.184286497,TCDvoip,0.846989554,0.338866397,ECHO,90,,,,,,,0.411727386,1.27755844,2.939007282
18,,resources/TCDvoip/Test_Set/ECHO/ref/R_05_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_05_ECHO_MK.wav,,,,5,,,3.583333333,3.71875,0.184286497,TCDvoip,0.880546602,0.352292012,ECHO,86,,,,,,,0.439913132,1.249648298,2.938922405
19,,resources/TCDvoip/Test_Set/ECHO/ref/R_05_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_05_ECHO_ML.wav,,,,5,,,3.708333333,3.71875,0.184286497,TCDvoip,1.041702898,0.416767959,ECHO,89,,,,,,,0.453014966,1.33511284,2.893343687
20,,resources/TCDvoip/Test_Set/ECHO/ref/R_06_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_06_ECHO_FA.wav,,,,6,,,4.125,4.0625,0.144276426,TCDvoip,0.679673835,0.271926168,ECHO,99,,,,,,,0.356461175,0.116891546,3.623682261
21,,resources/TCDvoip/Test_Set/ECHO/ref/R_06_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_06_ECHO_FG.wav,,,,6,,,4.041666667,4.0625,0.144276426,TCDvoip,0.907896119,0.363234098,ECHO,97,,,,,,,0.372501769,0.343141231,3.549134254
22,,resources/TCDvoip/Test_Set/ECHO/ref/R_06_ECHO_MK.wav,resources/TCDvoip/Test_Set/ECHO/C_06_ECHO_MK.wav,,,,6,,,3.833333333,4.0625,0.144276426,TCDvoip,0.701964118,0.280844138,ECHO,92,,,,,,,0.338118702,0.408223765,3.693485022
23,,resources/TCDvoip/Test_Set/ECHO/ref/R_06_ECHO_ML.wav,resources/TCDvoip/Test_Set/ECHO/C_06_ECHO_ML.wav,,,,6,,,4.25,4.0625,0.144276426,TCDvoip,0.607918759,0.243218158,ECHO,102,,,,,,,0.417449755,0.119747025,3.651576042
24,,resources/TCDvoip/Test_Set/ECHO/ref/R_07_ECHO_FA.wav,resources/TCDvoip/Test_Set/ECHO/C_07_ECHO_FA.wav,,,,7,,,3.125,3.5625,0.187449837,TCDvoip,1.115600832,0.44633329,ECHO,75,,,,,,,0.478980606,0.080443344,3.476275444
25,,resources/TCDvoip/Test_Set/ECHO/ref/R_07_ECHO_FG.wav,resources/TCDvoip/Test_Set/ECHO/C_07_ECHO_FG.wav,,,,7,,,3.666666667,3.5625,0.187449837,TCDvoip,1.00722031,0.40297205,ECHO,88,,,,,,,0.489928862,0.085751227,3.050371408
